orig.ident,nCount_RNA,nFeature_RNA,novelty_score,RNA_snn_res.0.8,seurat_clusters
control,516,221,0.8642443852145016,12,12
control,810,371,0.8834062726600028,0,0
control,1998,572,0.8354238022356063,4,4
control,2361,805,0.861462552948111,0,0
control,3318,906,0.8398841302854267,4,4
control,1158,513,0.8845871963912131,7,7
control,1375,616,0.8888819787187465,9,9
control,3702,1153,0.8580310678717893,4,4
control,2083,780,0.8714568817513962,11,11
control,1939,716,0.8683940542559818,4,4
control,996,426,0.8769787074139829,7,7
control,547,259,0.8814137818939493,12,12
control,3476,963,0.8425752829052738,4,4
control,208,125,0.9045956516290535,16,16
control,1015,419,0.8721914653672703,4,4
control,1976,1058,0.9176823995389306,6,6
control,1232,449,0.8581625418838024,12,12
control,648,355,0.9070461743791985,0,0
control,1572,572,0.8626425679148699,7,7
control,1345,559,0.8781258156530078,0,0
control,1023,430,0.8749426142673076,3,3
control,3585,1027,0.8472583001474233,14,14
control,1066,465,0.8809996220164477,0,0
control,685,330,0.8881483632935283,9,9
control,2278,765,0.8588578697035038,12,12
control,1495,563,0.8663997686448258,3,3
control,994,500,0.9004411371137601,3,3
control,1522,573,0.8666861245932851,0,0
control,1437,656,0.8921432805682399,0,0
control,1794,658,0.8661277456593265,16,16
control,1444,621,0.8840108246971715,0,0
control,1576,646,0.878868839407686,3,3
control,970,422,0.8789799437440539,0,0
control,922,387,0.8728316443973507,0,0
control,2147,601,0.8340379811890937,9,9
control,2303,805,0.8642301755828171,4,4
control,713,360,0.895976966029528,3,3
control,1497,686,0.893268027890308,13,13
control,882,448,0.9001209611880787,3,3
control,2755,732,0.8326772746649364,4,4
control,2796,931,0.8614297589316853,10,10
control,1728,717,0.8820017231043766,7,7
control,1050,465,0.8829148685622312,3,3
control,2004,748,0.8703787470151234,3,3
control,915,445,0.8942868733822518,7,7
control,3032,932,0.8528566537991099,7,7
control,753,386,0.8991211838418134,5,5
control,3489,1040,0.8516195313455371,12,12
control,1842,692,0.8697868856604165,9,9
control,1089,536,0.8986301403042234,0,0
control,1956,753,0.8740421104143336,3,3
control,2327,787,0.8601573729659172,12,12
control,1829,705,0.873084774369632,4,4
control,2790,852,0.8504864232469156,4,4
control,1402,571,0.8760269638067745,3,3
control,1168,418,0.8545151176810767,9,9
control,362,172,0.8736940473223666,0,0
control,1295,528,0.8748065319281092,9,9
control,4929,1287,0.8420746385105775,4,4
control,1075,454,0.8765086870314132,7,7
control,1405,587,0.8795815757565639,7,7
control,1175,529,0.8871081694651779,0,0
control,478,261,0.9019240675943893,6,6
control,1147,442,0.8646404431007809,0,0
control,1234,492,0.8708154826345895,7,7
control,1322,491,0.8621858169739505,7,7
control,1547,732,0.8981093526933949,0,0
control,1301,572,0.8854047877616461,0,0
control,788,409,0.9016743201692631,0,0
control,996,465,0.8896671874596203,3,3
control,1067,409,0.8624773777983046,0,0
control,1331,533,0.872782268042749,0,0
control,3935,1083,0.8441377208527342,4,4
control,3111,991,0.8577610710173958,12,12
control,3310,935,0.8440218147380915,12,12
control,2509,925,0.8725227697387783,13,13
control,526,264,0.8899730298377512,3,3
control,2744,824,0.8480516198674009,4,4
control,798,433,0.9085062955006978,3,3
control,1123,638,0.9194988502542213,6,6
control,1171,508,0.8818033377934514,7,7
control,185,130,0.9324143053759275,6,6
control,3480,1093,0.8579845183877907,9,9
control,1065,444,0.8744886825478244,9,9
control,1867,676,0.8651243787727282,0,0
control,2306,660,0.8384364856005732,4,4
control,2904,962,0.8614432545721602,4,4
control,1141,463,0.871878293702975,11,11
control,1415,551,0.8699979357888151,0,0
control,1315,515,0.8694683503075595,0,0
control,2142,673,0.8490448349634417,4,4
control,836,375,0.8808520081558262,3,3
control,1285,498,0.8675823053976968,7,7
control,1649,601,0.863750040621953,0,0
control,1046,491,0.8912247902246223,3,3
control,3444,1015,0.8499893614805211,4,4
control,1444,512,0.8574813559204802,3,3
control,1113,574,0.9056019273217731,3,3
control,1010,456,0.8850467416262526,5,5
control,2057,656,0.8501975988950694,4,4
control,1121,507,0.8870025514648723,7,7
control,856,388,0.882814965568574,7,7
control,5141,1339,0.8425600829678931,14,14
control,1287,447,0.852304414619255,0,0
control,2487,717,0.8409280909722667,4,4
control,997,456,0.8867072850984632,11,11
control,1112,443,0.8687828919423564,0,0
control,2503,682,0.8338434662218219,9,9
control,983,479,0.8956683639717331,3,3
control,1827,631,0.8584469044941815,9,9
control,709,379,0.904580574798147,3,3
control,775,361,0.8851644671399879,7,7
control,3209,1047,0.8612744591521314,4,4
control,2125,868,0.8831387845803439,3,3
control,1240,594,0.8966725934216504,3,3
control,2168,599,0.8325472034674625,4,4
control,536,296,0.9055120894100129,7,7
control,1364,514,0.8647922328868693,3,3
control,1183,538,0.8886416635944042,0,0
control,1161,520,0.8861833695635288,0,0
control,1168,582,0.9013771817007429,3,3
