orig.ident,nCount_RNA,nFeature_RNA
control,2218,733
control,1165,429
control,2251,712
control,876,418
control,2185,723
control,958,401
control,508,270
control,885,511
control,581,283
control,671,321
control,2005,691
control,1191,704
control,1083,381
control,1092,526
control,1665,690
control,2133,718
control,1115,591
control,1308,526
control,2351,738
control,872,412
control,1209,559
control,1532,543
control,5912,1682
control,1162,451
control,919,436
control,1409,473
control,803,494
control,1145,436
control,2577,633
control,3115,941
control,2084,691
control,1510,562
control,1008,482
control,1076,492
control,1073,440
control,1765,744
control,1045,519
control,2387,715
control,1190,469
control,2109,666
control,914,433
control,1071,434
control,1179,419
control,1095,435
control,719,385
control,1928,788
control,1207,584
control,1150,447
control,1042,436
control,2618,844
control,1352,482
control,2365,674
control,1425,525
control,1232,554
control,591,307
control,959,471
control,423,222
control,2893,848
control,3574,1104
control,3420,1362
control,1754,561
control,2189,976
control,1405,488
control,1519,554
control,1126,556
control,2743,850
control,1430,594
control,832,437
control,1378,585
control,1382,531
control,939,381
control,1102,489
control,658,311
control,1089,422
control,2428,742
control,727,389
control,950,409
control,1994,692
control,638,330
control,300,202
control,622,341
control,936,460
control,3185,945
control,1142,463
control,2669,826
control,1287,518
control,1631,596
control,1546,706
control,2795,885
control,1496,821
control,2894,927
control,933,502
control,1375,518
control,1608,781
control,911,422
control,1452,458
control,1682,640
control,642,320
control,976,576
control,1503,601
control,3754,893
control,1209,656
control,1187,537
control,2113,609
control,1683,565
control,1154,482
control,4676,1470
control,1025,426
control,1203,444
control,3504,957
control,790,321
control,1327,594
control,1111,470
control,1550,693
control,1119,497
control,467,254
control,1117,436
control,832,400
control,1059,420
control,1376,551
control,2205,1001
control,1365,606
control,2637,459
control,2378,791
control,1565,577
control,1228,513
control,1699,622
control,516,243
control,1230,491
control,2382,758
control,819,390
control,3844,1133
control,1295,539
control,2042,896
control,1086,471
control,2464,794
control,1329,531
control,2452,801
control,3083,1111
control,3200,893
control,844,321
control,473,259
control,1173,492
control,3016,919
